date,Y1,Y2,Y3,Y4,Y5,Y6,Y7,close
2015/5/15,6.834795,1.500516,-0.687069,-0.288213,0.480404,-0.273159,1.110079,4308.69
2015/5/18,6.718122,1.343323,-0.526696,-0.413752,0.701956,-0.698129,1.173222,4283.49
2015/5/19,6.553666,1.552072,-0.674933,-0.279289,0.47364,-0.201904,1.124984,4417.55
2015/5/20,7.333439,1.897668,-0.428965,-0.164039,0.293913,0.176154,0.946755,4446.29
2015/5/21,7.032093,1.829715,-0.544102,-0.301557,0.501214,-0.18001,0.9795,4529.42
2015/5/22,9.261579,2.3091,0.15339,0.046628,-0.025969,0.808922,0.708663,4657.6
2015/5/25,9.538548,2.554751,0.17818,0.067614,-0.070042,0.992074,0.606623,4813.8
2015/5/26,10.014182,2.790087,-0.14717,0.052632,-0.139231,1.270631,0.536409,4910.9
2015/5/27,10.334818,2.843572,-0.129563,-0.035586,-0.020878,1.088505,0.494366,4941.71
2015/5/28,10.087865,2.959745,-0.02964,0.282029,-0.481458,1.923343,0.465763,4620.27
2015/5/29,8.499214,2.212694,-0.395317,-0.03846,0.038859,0.869896,0.823966,4611.74
2015/6/1,9.293099,2.478609,0.480762,-0.079318,0.339592,0.136333,0.93785,4828.74
2015/6/2,10.064317,2.781505,0.770369,-0.077355,0.349153,0.163719,0.753256,4910.53
2015/6/3,10.365008,2.818887,0.749964,-0.112796,0.382578,0.155152,0.728788,4909.98
2015/6/4,10.035078,2.822681,0.810326,0.026672,0.211363,0.467728,0.727157,4947.1
2015/6/5,11.605721,3.194309,1.049845,0.176499,-0.064937,1.060978,0.526578,5023.1
2015/6/8,12.964156,3.311661,1.099151,0.238891,-0.221752,1.470163,0.397726,5131.88
2015/6/9,12.540169,3.170564,1.030069,-0.049378,0.227012,0.66477,0.408862,5113.53
2015/6/10,14.613227,2.58889,-0.164588,-0.430429,0.444836,0.496655,0.714404,5106.04
2015/6/11,10.144806,2.971729,0.413923,-0.307253,0.63418,0.008057,0.515122,5121.59
2015/6/12,10.874869,3.136353,0.86312,-0.200605,0.517552,0.207595,0.358525,5166.35
2015/6/15,10.962531,3.059413,0.750871,-0.184584,0.45984,0.413926,0.283801,5062.99
2015/6/16,9.42821,2.628897,0.339212,-0.30494,0.650977,0.04959,0.477903,4887.43
2015/6/17,8.973139,2.432425,0.211089,-0.346123,0.719897,-0.068752,0.529647,4967.9
2015/6/18,8.435643,2.404345,0.013054,-0.400241,0.788634,-0.135019,0.51182,4785.36
2015/6/19,6.022762,1.940546,-0.94275,-0.363828,0.680125,0.123781,0.815335,4478.36
2015/6/23,6.636069,1.498248,-0.458519,-0.27791,0.600446,0.243366,0.722083,4576.49
2015/6/24,9.067046,1.792541,0.396886,-0.240098,0.561605,0.30648,0.396455,4690.15
2015/6/25,9.212767,1.869335,0.580286,-0.154089,0.448538,0.533507,0.274204,4527.78
2015/6/26,6.674252,1.408962,-0.142766,-0.008828,0.226787,0.94547,0.538454,4192.87
2015/6/29,7.205525,1.191285,0.424342,0.298943,-0.179881,1.654906,0.360668,4053.03
2015/6/30,7.197625,1.035579,0.629935,0.395824,-0.282154,1.81828,0.345019,4277.22
2015/7/1,7.268488,0.734988,0.530376,0.102182,0.256036,1.640785,-0.339264,4053.7
2015/7/2,5.661938,0.366759,0.416531,0.141035,0.267505,1.554374,-0.232655,3912.77
2015/7/3,4.712553,-0.038931,0.250524,0.134223,0.293106,1.466737,-0.107185,3686.92
2015/7/6,7.431082,0.358104,1.627276,0.632785,-0.38614,2.66096,-0.685228,3775.91
2015/7/7,5.850436,-0.197917,0.914168,0.439403,-0.149796,2.245211,-0.423003,3727.13
2015/7/8,4.943715,-0.479957,1.348755,0.480752,-0.088921,1.968698,-0.417599,3507.19
2015/7/9,5.15039,-0.598318,0.781775,0.362807,-0.0355,2.010735,-0.386735,3709.33
2015/7/10,6.288558,-0.355148,0.566242,0.126442,0.191974,1.756287,-0.582492,3877.8
2015/7/13,7.742275,-0.149805,0.966339,0.174161,0.054439,2.032265,-0.948005,3970.39
2015/7/14,6.88803,-0.034455,0.735843,0.281567,-0.130422,2.40443,-1.018961,3924.49
2015/7/15,5.065664,-0.298834,0.240965,0.179378,0.018302,2.126561,-0.90089,3805.7
2015/7/16,4.487983,-0.619777,0.003514,-0.036878,0.317013,1.545927,-0.809881,3823.18
2015/7/17,5.25319,-0.518454,0.091219,-0.103785,0.365834,1.472548,-0.945648,3957.35
2015/7/20,6.502968,-0.399363,0.476845,-0.02191,0.16106,1.758127,-1.230303,3992.11
2015/7/21,11.662774,-0.909991,0.723279,-0.309586,0.317747,1.447131,-1.186873,4017.68
2015/7/22,6.311018,-0.401757,0.489552,-0.060712,0.17696,1.66587,-1.342639,4026.05
2015/7/23,6.862654,-0.257148,0.844437,0.009801,0.07706,1.782482,-1.501759,4123.92
2015/7/24,7.107068,-0.066181,0.752472,0.151388,-0.209405,2.323537,-1.615571,4070.91
2015/7/27,22.500237,-1.710873,3.52248,-0.485688,0.29882,0.791416,-1.630715,3725.56
2015/7/28,4.776963,-0.999025,0.386244,0.235744,-0.41149,2.281205,-1.304736,3663
2015/7/29,4.210705,-1.135426,-0.441503,-0.085619,-0.083201,1.770397,-1.214845,3789.17
2015/7/30,-0.173901,-0.706114,-1.941646,0.118267,-0.480512,2.691298,-1.193046,3705.77
2015/7/31,-1.308865,-1.047483,-2.272016,-0.089295,-0.194612,2.07237,-1.050291,3663.73
2015/8/3,3.275348,-1.427113,-0.297546,-0.126317,-0.5236,0.89601,-1.277265,3622.91
2015/8/4,4.272036,-1.401924,-0.063304,-0.171989,-0.502416,0.784359,-1.368408,3756.55
2015/8/5,4.980099,-1.316743,0.054614,-0.198204,-0.520666,0.770868,-1.46768,3694.57
2015/8/6,3.665717,-1.578992,-0.306174,-0.359904,-0.295757,0.295568,-1.33816,3661.54
2015/8/7,4.372274,-1.400232,-0.107323,-0.246827,-0.506024,0.638705,-1.468178,3744.21
2015/8/10,7.122807,-1.070857,0.928283,-0.00741,-0.920283,1.186893,-1.826965,3928.42
2015/8/11,7.383256,-0.752383,0.898058,0.06018,-1.101329,1.366919,-2.059397,3927.91
2015/8/12,6.735056,-0.864874,0.721358,-0.119634,-0.870511,0.746769,-2.086145,3886.32
2015/8/13,6.280519,-0.825032,0.581191,-0.134533,-0.886281,0.655151,-2.148686,3954.56
2015/8/14,6.733142,-0.629089,0.714526,-0.075751,-1.002941,0.869824,-2.267314,3965.34
2015/8/17,7.015045,-0.720707,0.908275,-0.119996,-0.97252,0.705055,-2.306327,3993.67
2015/8/18,7.033077,-0.623329,0.95443,0.104368,-1.332775,1.347307,-2.348694,3748.16
2015/8/19,6.189199,-1.13388,0.954516,0.019665,-1.160468,0.893324,-2.12276,3794.11
2015/8/20,6.434343,-1.206016,0.999291,-0.212189,-0.827762,0.279613,-2.134912,3664.29
2015/8/21,4.460551,-1.409251,0.36629,-0.163429,-0.922717,0.484456,-1.941846,3507.74
2015/8/24,2.947787,-1.862194,0.099211,-0.147449,-0.940937,0.4401,-1.699264,3209.91
2015/8/25,1.966629,-2.235226,0.156577,0.042801,-1.177838,0.723783,-1.50633,2964.97
2015/8/26,2.828101,-2.156768,0.66116,0.288529,-1.51828,1.26854,-1.596129,2927.29
2015/8/27,1.7544,-2.184229,0.18088,0.145757,-1.331562,1.015271,-1.522334,3083.59
2015/8/28,3.44801,-1.93427,0.489207,0.126395,-1.346543,1.1207,-1.68916,3232.35
2015/8/31,3.303884,-1.975769,0.344526,-0.010018,-1.160627,0.909328,-1.642083,3205.99
2015/9/1,2.856838,-1.869709,0.498362,-0.117591,-0.99949,1.055044,-1.348198,3166.62
2015/9/2,2.272282,-1.921866,0.281701,-0.080029,-1.059801,1.237589,-1.270678,3160.17
2015/9/7,1.590928,-2.00813,-0.331794,-0.420068,-0.580233,0.67487,-1.155837,3080.42
2015/9/8,1.026706,-2.162089,-0.73752,-0.482901,-0.515771,0.63069,-1.032624,3170.45
2015/9/9,13.117998,-2.53375,1.88213,-0.65463,-0.441742,0.267832,-1.353951,3243.09
2015/9/10,16.907636,-2.960686,2.627846,-1.029732,0.074305,-0.767332,-1.346901,3197.89
2015/9/11,1.985514,-2.02386,-0.193842,-0.608531,-0.22615,0.170856,-1.186681,3200.23
2015/9/14,2.798875,-1.874916,0.268739,-0.342936,-0.527011,0.802869,-1.298768,3114.8
2015/9/15,0.551044,-2.156929,-0.4474,-0.476636,-0.297421,0.470933,-1.065828,3005.17
2015/9/16,1.386036,-2.110247,-0.153599,-0.438616,-0.319974,0.526836,-1.13561,3152.26
2015/9/17,1.650412,-1.897938,-0.12407,-0.370003,-0.411238,0.789833,-1.23515,3086.06
2015/9/18,1.208695,-2.149615,-0.338726,-0.598612,-0.038932,0.166009,-1.110385,3097.92
2015/9/21,2.160823,-2.12425,-0.035909,-0.537914,-0.027045,0.259378,-1.186125,3156.54
2015/9/22,2.382617,-1.929003,0.004156,-0.483265,-0.081836,0.442394,-1.289005,3185.62
2015/9/23,1.634556,-2.01946,-0.267488,-0.531073,0.022188,0.318703,-1.221975,3115.89
2015/9/24,1.255588,-2.041618,-0.333168,-0.567159,0.130097,0.176736,-1.212356,3142.69
2015/9/25,0.951597,-2.011624,-0.472331,-0.496814,0.055921,0.393415,-1.209518,3092.35
2015/9/28,0.953118,-2.218386,-0.586871,-0.645538,0.407633,-0.068836,-1.145049,3100.76
2015/9/29,0.264745,-2.21364,-0.750674,-0.588671,0.380593,0.064757,-1.120351,3038.14
2015/9/30,-0.611171,-2.182744,-1.128182,-0.59071,0.414079,0.13449,-1.087881,3052.78
2015/10/8,2.075017,-2.131472,-0.554227,-0.190061,0.987815,0.492483,-1.802657,3143.36
2015/10/9,1.342871,-2.065957,-0.710251,-0.166775,0.989731,0.533461,-1.792673,3183.15
2015/10/12,3.936949,-1.762892,0.307573,0.099434,0.67389,1.052817,-2.007789,3287.66
2015/10/13,2.898756,-1.817723,-0.210466,-0.10379,0.959109,0.633994,-1.897391,3293.23
2015/10/14,2.41578,-1.744464,-0.338123,-0.096681,0.951322,0.634302,-1.896251,3262.44
2015/10/15,10.996396,-2.301956,0.989869,-0.354867,1.101954,0.208391,-1.913348,3338.07
2015/10/16,2.726559,-1.38461,-0.136073,0.107218,0.651972,1.16532,-2.008233,3391.35
2015/10/19,3.167187,-1.316487,-0.056348,0.043026,0.699865,0.968162,-1.956163,3386.7
2015/10/20,1.91825,-1.340256,-0.498449,-0.067239,0.836596,0.714923,-1.850194,3425.33
2015/10/21,2.66253,-1.172274,-0.559045,0.204571,0.339277,1.643481,-1.850849,3320.68
2015/10/22,2.74275,-1.517628,-0.744597,-0.098627,0.737877,0.836437,-1.652311,3368.74
2015/10/23,2.433032,-1.225072,-0.090693,-0.022913,0.732371,0.677487,-1.802194,3412.43
2015/10/26,2.652385,-1.057518,-0.22468,-0.038349,0.594706,0.770866,-1.688682,3429.58
2015/10/27,2.125917,-1.147066,-0.398129,-0.108374,0.653811,0.588751,-1.559671,3434.34
2015/10/28,1.654062,-1.141622,-0.650172,-0.203294,0.724503,0.400391,-1.473141,3375.2
2015/10/29,5.359048,-1.56416,-0.663792,-0.50064,0.902305,-0.001072,-1.293334,3387.32
2015/10/30,6.81456,-1.628652,-0.269836,-0.540168,0.896136,-0.133489,-1.253699,3382.56
2015/11/2,9.539304,-1.544194,0.30649,-0.868209,0.291361,-1.080174,-0.304649,3325.09
2015/11/3,6.187394,-1.393131,-0.54013,-0.850397,0.22874,-0.987243,-0.161225,3316.7
2015/11/4,1.887899,-0.640499,-0.516372,-0.350253,-0.345549,-0.041431,-0.324067,3459.64
2015/11/5,3.78845,-0.094756,0.160115,0.030486,-0.975446,1.01235,-0.571352,3522.82
2015/11/6,2.588678,-0.162174,-0.39117,-0.259357,-0.625552,0.355355,-0.430488,3590.03
2015/11/9,3.655741,0.129035,-0.072177,-0.198152,-0.889465,0.600367,-0.433673,3646.88
2015/11/10,4.073769,0.03251,0.152389,-0.391687,-0.625373,0.001181,-0.389437,3640.49
2015/11/11,2.604183,-0.013424,-0.533765,-0.544974,-0.487017,-0.217471,-0.235071,3650.25
2015/11/12,2.43609,0.047071,-0.577181,-0.539342,-0.545987,-0.154522,-0.203525,3632.9
2015/11/13,2.090069,-0.006601,-0.732186,-0.558348,-0.576318,-0.146429,-0.110813,3580.84
2015/11/16,1.374926,-0.138189,-1.008472,-0.752497,-0.420685,-0.554762,0.08993,3606.96
2015/11/17,2.487247,0.190251,-0.536208,-0.549526,-0.751908,0.010103,-0.066948,3604.8
2015/11/18,1.577693,0.002482,-0.87635,-0.757095,-0.481928,-0.502501,0.075242,3568.47
2015/11/19,0.883913,-0.058397,-1.108293,-0.873778,-0.34303,-0.754425,0.158582,3617.06
2015/11/20,2.038449,0.092732,-0.562496,-0.776198,-0.491469,-0.552487,0.053493,3630.5
2015/11/23,1.602898,0.158436,-0.87185,-0.809978,-0.575852,-0.363506,0.129682,3610.32
2015/11/24,1.076176,0.010831,-1.038485,-0.96157,-0.372728,-0.736001,0.224318,3616.11
2015/11/25,1.479727,0.119447,-0.790105,-0.915494,-0.449199,-0.604285,0.167044,3647.93
2015/11/26,1.654134,0.231278,-0.789531,-0.863494,-0.568118,-0.349942,0.133147,3635.55
2015/11/27,1.537169,0.154095,-0.747074,-0.72226,-0.796507,0.046817,0.187369,3436.3
2015/11/30,0.894342,-0.129071,-0.866188,-0.832046,-0.674939,-0.139374,0.349109,3445.41
2015/12/1,0.643028,-0.21566,-0.743664,-1.471236,-0.419183,-0.019656,0.198755,3456.31
2015/12/2,0.252706,-0.081109,-0.908373,-1.393119,-0.559088,0.331328,0.168588,3536.91
2015/12/3,0.293564,-0.01136,-1.013292,-1.496048,-0.430572,0.18343,0.130755,3584.82
2015/12/4,-0.037097,-0.050667,-1.227399,-1.549007,-0.371559,0.175097,0.179229,3524.99
2015/12/7,-0.234064,-0.124983,-1.233279,-1.621089,-0.21813,0.009779,0.179678,3536.93
2015/12/8,-0.206193,-0.124233,-1.123034,-1.559972,-0.270438,0.117656,0.155302,3470.07
2015/12/9,-0.575812,-0.192123,-1.136943,-1.589628,-0.174477,-0.031627,0.174798,3472.44
2015/12/10,-0.396361,-0.173345,-1.022555,-1.559987,-0.173913,-0.007346,0.132633,3455.5
2015/12/11,-0.785829,-0.252234,-1.194609,-1.573092,-0.121327,-0.056018,0.167437,3434.58
2015/12/14,-0.508648,-0.200957,-1.114106,-1.442762,-0.153386,0.16416,0.073765,3520.67
2015/12/15,-0.179976,-0.113866,-1.087032,-1.474317,-0.053354,0.060316,-0.004557,3510.35
2015/12/16,2.935091,-0.375322,-1.047008,-1.591453,0.024763,0.006161,0.024207,3516.19
2015/12/17,2.881831,-0.133072,-0.980818,-1.337595,-0.271871,0.616703,-0.099124,3580
2015/12/18,-2.52905,0.257205,-2.320905,-1.159543,-0.402103,1.112916,-0.061448,3578.96
2015/12/21,6.577888,-0.296304,-0.096434,-1.270699,-0.022322,0.341762,-0.303263,3642.47
2015/12/22,3.732044,-0.116173,-0.886923,-1.226554,0.036294,0.432698,-0.285241,3651.77
2015/12/23,5.022483,-0.08997,-0.522066,-1.11319,-0.023781,0.584088,-0.381325,3636.09
2015/12/24,-0.107991,0.070717,-1.080285,-1.033284,0.179092,0.291176,-0.356917,3612.49
2015/12/25,-0.145342,0.006144,-1.088229,-1.047869,0.338263,0.077714,-0.368511,3627.91
2015/12/28,0.191528,0.083497,-1.0043,-0.65997,0.175403,0.613576,-0.515521,3533.78
2015/12/29,-0.392577,-0.16747,-1.126873,-0.763525,0.506647,0.040412,-0.447188,3563.74
2015/12/30,4.994083,-0.524711,-0.552941,-0.872248,0.631112,-0.136302,-0.489519,3572.88
2015/12/31,-0.93261,-0.118002,-1.477531,-0.602505,0.557142,0.178948,-0.513036,3539.18
2016/1/4,-1.333818,-0.379241,-1.596616,0.660796,1.434573,0.4094,-0.914228,3296.26
2016/1/5,-0.19214,-0.626079,-0.75411,0.993149,1.16978,0.708664,-0.930575,3287.71
2016/1/6,-0.248434,-0.557184,-0.814632,0.954394,1.364593,0.40996,-1.021084,3361.84
2016/1/7,-2.138268,-0.895115,-1.758505,0.698283,1.820526,-0.342882,-0.831516,3125
2016/1/8,-0.329328,-0.711474,-0.681763,1.27585,1.161699,0.721935,-1.048529,3186.41
2016/1/11,-0.756749,-0.85762,-0.815114,1.458281,1.230027,0.623001,-1.082256,3016.7
2016/1/12,-1.094851,-1.098842,-0.861442,1.423325,1.39901,0.265298,-1.003557,3022.86
2016/1/13,-1.506092,-1.115145,-1.037847,1.465108,1.419637,0.239209,-1.010448,2949.6
2016/1/14,-1.553435,-1.25837,-0.953091,1.595995,1.329152,0.332577,-0.980054,3007.65
2016/1/15,-1.697378,-1.221459,-1.134576,1.611704,1.356755,0.29403,-1.016079,2900.97
2016/1/18,-1.895619,-1.435722,-1.208219,1.723844,1.386667,0.078376,-1.006533,2913.84
2016/1/19,-0.954798,-1.312784,-0.895598,1.814079,1.30576,0.148682,-1.142758,3007.74
2016/1/20,-0.67528,-1.253249,-0.884955,1.85791,1.269141,0.165475,-1.207654,2976.69
2016/1/21,-1.360289,-1.352131,-1.08341,1.883623,1.2713,0.083904,-1.163583,2880.48
2016/1/22,-1.636944,-1.471241,-1.171558,1.870793,1.325095,-0.110423,-1.127314,2916.56
2016/1/25,-0.994001,-1.502824,-1.118766,1.921838,1.275389,-0.325115,-1.220738,2938.52
2016/1/26,-1.582057,-1.504193,-1.127671,2.141858,0.973023,0.079486,-1.221787,2749.79
2016/1/27,-1.871175,-1.708275,-1.02877,2.237783,0.862423,0.07622,-1.150991,2735.56
2016/1/28,-2.055348,-1.816029,-1.083972,2.183952,0.936314,-0.20732,-1.124205,2655.66
2016/1/29,-1.853105,-1.838752,-1.028131,2.236917,0.838919,-0.185981,-1.144752,2737.6
2016/2/1,-2.215947,-1.94923,-1.576149,2.172878,-0.184561,-0.927974,-1.290712,2688.85
2016/2/2,-1.721686,-1.978678,-1.426935,2.180273,-0.229307,-1.019816,-1.320423,2749.57
2016/2/3,-2.082194,-1.971676,-1.613226,2.174492,-0.26964,-1.065252,-1.318133,2739.25
2016/2/4,-1.73301,-1.892296,-1.524295,2.214306,-0.368732,-1.003965,-1.378261,2781.02
2016/2/5,2.328475,-2.175227,-0.159267,2.0277,-0.083855,-1.857199,-1.494656,2763.49
2016/2/15,-1.420496,-2.190338,-1.652165,2.141197,-0.716606,-1.487481,-1.271606,2746.2
2016/2/16,-1.060233,-1.961028,-1.491624,2.246865,-0.914726,-1.176939,-1.385671,2836.57
2016/2/17,-0.581131,-1.844877,-1.312928,2.255214,-0.968351,-1.157679,-1.462887,2867.34
2016/2/18,-0.646679,-1.784631,-1.356813,2.236445,-0.987018,-1.142533,-1.469331,2862.89
2016/2/19,-1.336159,-1.878871,-1.638297,2.126978,-0.877277,-1.369682,-1.379904,2860.02
2016/2/22,-1.017147,-1.714048,-1.526504,2.190317,-1.109431,-1.03361,-1.412071,2927.18
2016/2/23,-0.605539,-1.768164,-1.401292,2.087984,-1.001224,-1.290717,-1.401068,2903.33
2016/2/24,0.048709,-1.786331,-1.045432,2.085639,-1.014435,-1.347689,-1.419433,2928.9
2016/2/25,-0.760307,-1.713439,-1.303983,2.229412,-1.290089,-0.821739,-1.375535,2741.25
2016/2/26,-1.471009,-1.980878,-1.476796,2.077613,-1.093727,-1.220313,-1.201607,2767.21
2016/2/29,-1.523461,-2.003359,-1.460128,2.032241,-1.170789,-1.08217,-1.103908,2687.98
2016/3/1,-1.058959,-2.000191,-1.137262,1.467698,-0.905478,-0.94518,-0.630249,2733.17
2016/3/2,-0.347108,-1.76759,-0.871478,1.563925,-1.097736,-0.578605,-0.740481,2849.68
2016/3/3,0.175954,-1.636263,-0.789874,1.518114,-1.090416,-0.524436,-0.780365,2859.76
